surface_form,normalized_surface_form,dictionary_lemma,normalized_dictionary_lemma,pos,language_profile,mapping_type,source_type,source_key,confidence,review_status,notes
եմ,եմ,լինել,լինել,AUX,eastern,auxiliary_paradigm,seed_curated,armenian_aux_linel_mvp2,1.0,approved,Eastern Armenian present auxiliary/copula form.
ես,ես,լինել,լինել,AUX,eastern,auxiliary_paradigm,seed_curated,armenian_aux_linel_mvp2,1.0,approved,Eastern Armenian present auxiliary/copula form.
է,է,լինել,լինել,AUX,eastern,auxiliary_paradigm,seed_curated,armenian_aux_linel_mvp2,1.0,approved,Eastern Armenian present auxiliary/copula form.
ենք,ենք,լինել,լինել,AUX,eastern,auxiliary_paradigm,seed_curated,armenian_aux_linel_mvp2,1.0,approved,Eastern Armenian present auxiliary/copula form.
եք,եք,լինել,լինել,AUX,eastern,auxiliary_paradigm,seed_curated,armenian_aux_linel_mvp2,1.0,approved,Eastern Armenian present auxiliary/copula form.
են,են,լինել,լինել,AUX,eastern,auxiliary_paradigm,seed_curated,armenian_aux_linel_mvp2,1.0,approved,Eastern Armenian present auxiliary/copula form.
չեմ,չեմ,լինել,լինել,AUX,eastern,auxiliary_paradigm,seed_curated,armenian_aux_linel_mvp2,1.0,approved,Eastern Armenian negative auxiliary/copula form.
չես,չես,լինել,լինել,AUX,eastern,auxiliary_paradigm,seed_curated,armenian_aux_linel_mvp2,1.0,approved,Eastern Armenian negative auxiliary/copula form.
չէ,չէ,լինել,լինել,AUX,eastern,auxiliary_paradigm,seed_curated,armenian_aux_linel_mvp2,1.0,approved,Eastern Armenian negative auxiliary/copula form.
չենք,չենք,լինել,լինել,AUX,eastern,auxiliary_paradigm,seed_curated,armenian_aux_linel_mvp2,1.0,approved,Eastern Armenian negative auxiliary/copula form.
չեք,չեք,լինել,լինել,AUX,eastern,auxiliary_paradigm,seed_curated,armenian_aux_linel_mvp2,1.0,approved,Eastern Armenian negative auxiliary/copula form.
չեն,չեն,լինել,լինել,AUX,eastern,auxiliary_paradigm,seed_curated,armenian_aux_linel_mvp2,1.0,approved,Eastern Armenian negative auxiliary/copula form.
էի,էի,լինել,լինել,AUX,eastern,auxiliary_paradigm,seed_curated,armenian_aux_linel_mvp2,1.0,approved,Eastern Armenian imperfect auxiliary/copula form.
էիր,էիր,լինել,լինել,AUX,eastern,auxiliary_paradigm,seed_curated,armenian_aux_linel_mvp2,1.0,approved,Eastern Armenian imperfect auxiliary/copula form.
էր,էր,լինել,լինել,AUX,eastern,auxiliary_paradigm,seed_curated,armenian_aux_linel_mvp2,1.0,approved,Eastern Armenian imperfect auxiliary/copula form.
էինք,էինք,լինել,լինել,AUX,eastern,auxiliary_paradigm,seed_curated,armenian_aux_linel_mvp2,1.0,approved,Eastern Armenian imperfect auxiliary/copula form.
էիք,էիք,լինել,լինել,AUX,eastern,auxiliary_paradigm,seed_curated,armenian_aux_linel_mvp2,1.0,approved,Eastern Armenian imperfect auxiliary/copula form.
էին,էին,լինել,լինել,AUX,eastern,auxiliary_paradigm,seed_curated,armenian_aux_linel_mvp2,1.0,approved,Eastern Armenian imperfect auxiliary/copula form.
